modelo,accuracy,precision_classe_1,recall_classe_1,f1_classe_1,auc
Regressão Logística,0.6607055124299892,0.1798590965602984,0.5733157199471598,0.27381703470031543,0.6699424029220123
Árvore de Decisão,0.6743637614228162,0.1799618040252681,0.539409951563188,0.26988323419255345,0.6611016431327602
Random Forest,0.6308342340571877,0.17543642441500557,0.6239542051959489,0.27386934673366836,0.6745345895496846
