feature,coefficient,abs_coefficient
num__time_in_hospital,-0.006105987755662422,0.006105987755662422
num__num_lab_procedures,0.005380059458240139,0.005380059458240139
num__num_procedures,-0.01635909171613773,0.01635909171613773
num__num_medications,0.03443522984176286,0.03443522984176286
num__number_outpatient,-0.008583587302465312,0.008583587302465312
num__number_emergency,0.06907306641614229,0.06907306641614229
num__number_inpatient,0.336781532677319,0.336781532677319
num__number_diagnoses,0.0415945237687593,0.0415945237687593
cat__race_AfricanAmerican,0.009601373391368625,0.009601373391368625
cat__race_Asian,-0.02187445948535903,0.02187445948535903
cat__race_Caucasian,0.022022878960473245,0.022022878960473245
cat__race_Hispanic,-0.08811003071604546,0.08811003071604546
cat__race_Other,-0.035235872413629084,0.035235872413629084
cat__race_Unknown,-0.1307494752206217,0.1307494752206217
cat__gender_Female,0.03308066796594963,0.03308066796594963
cat__gender_Male,0.04805268622235498,0.04805268622235498
cat__gender_Unknown/Invalid,-0.32547893967227326,0.32547893967227326
cat__age_[0-10),-1.0474443506173727,1.0474443506173727
cat__age_[10-20),-0.30701694512530425,0.30701694512530425
cat__age_[20-30),0.20630146998471796,0.20630146998471796
cat__age_[30-40),0.12234530522182485,0.12234530522182485
cat__age_[40-50),0.12377306951402296,0.12377306951402296
cat__age_[50-60),0.018629282700834266,0.018629282700834266
cat__age_[60-70),0.12646110243649605,0.12646110243649605
cat__age_[70-80),0.19662605793367766,0.19662605793367766
cat__age_[80-90),0.20243138396932633,0.20243138396932633
cat__age_[90-100),0.11354803849804584,0.11354803849804584
cat__admission_type_id_1,0.1222758842014675,0.1222758842014675
cat__admission_type_id_2,0.05826296953206404,0.05826296953206404
cat__admission_type_id_3,0.07308179088302356,0.07308179088302356
cat__admission_type_id_4,0.5924606850910628,0.5924606850910628
cat__admission_type_id_5,-0.046099458833635296,0.046099458833635296
cat__admission_type_id_6,0.2065136368953624,0.2065136368953624
cat__admission_type_id_7,-1.2385353783999906,1.2385353783999906
cat__admission_type_id_8,-0.012305714853341494,0.012305714853341494
cat__discharge_disposition_id_1,0.05563254634765357,0.05563254634765357
cat__discharge_disposition_id_2,0.6283474971901758,0.6283474971901758
cat__discharge_disposition_id_3,0.46358698792169684,0.46358698792169684
cat__discharge_disposition_id_4,0.33034937857059016,0.33034937857059016
cat__discharge_disposition_id_5,1.074281415479387,1.074281415479387
cat__discharge_disposition_id_6,0.2667858707702242,0.2667858707702242
cat__discharge_disposition_id_7,0.4623875395604351,0.4623875395604351
cat__discharge_disposition_id_8,0.5063387029702717,0.5063387029702717
cat__discharge_disposition_id_9,1.2549622329746912,1.2549622329746912
cat__discharge_disposition_id_10,-0.9312809322385371,0.9312809322385371
cat__discharge_disposition_id_11,-5.059147040295492,5.059147040295492
cat__discharge_disposition_id_12,1.6964588335798163,1.6964588335798163
cat__discharge_disposition_id_13,-1.0701399163534373,1.0701399163534373
cat__discharge_disposition_id_14,-0.5889273675709287,0.5889273675709287
cat__discharge_disposition_id_15,1.9104248565802118,1.9104248565802118
cat__discharge_disposition_id_16,-1.1462643177471652,1.1462643177471652
cat__discharge_disposition_id_17,-1.2548398935130487,1.2548398935130487
cat__discharge_disposition_id_18,0.47632998285726186,0.47632998285726186
cat__discharge_disposition_id_19,-0.9600912820867906,0.9600912820867906
cat__discharge_disposition_id_20,-0.3984976351194855,0.3984976351194855
cat__discharge_disposition_id_22,1.3606883974058808,1.3606883974058808
cat__discharge_disposition_id_23,-0.5144781256192519,0.5144781256192519
cat__discharge_disposition_id_24,0.05626901075395876,0.05626901075395876
cat__discharge_disposition_id_25,0.018512511408918502,0.018512511408918502
cat__discharge_disposition_id_27,-0.5954286340527806,0.5954286340527806
cat__discharge_disposition_id_28,1.71339379474216,1.71339379474216
cat__admission_source_id_1,0.09698101287454503,0.09698101287454503
cat__admission_source_id_2,-0.091049081722871,0.091049081722871
cat__admission_source_id_3,0.46403985418489513,0.46403985418489513
