grupo,n,accuracy,precision,recall,f1_score,taxa_positivos_reais,taxa_positivos_previstos,falsos_positivos,falsos_negativos,taxa_falsos_positivos,taxa_falsos_negativos
Caucasian,15223,0.6153189253103856,0.17598246438077345,0.6546301688992429,0.2773938795656466,0.11278985745253892,0.4195625041056296,5263,593,0.38967866133570267,0.34536983110075714
AfricanAmerican,3866,0.627521986549405,0.17230169050715213,0.6134259259259259,0.26903553299492383,0.11174340403517848,0.3978272115882049,1273,167,0.3707047175305766,0.38657407407407407
Unknown,462,0.7532467532467533,0.15384615384615385,0.38095238095238093,0.2191780821917808,0.09090909090909091,0.22510822510822512,88,26,0.20952380952380953,0.6190476190476191
Hispanic,404,0.7079207920792079,0.23015873015873015,0.58,0.32954545454545453,0.12376237623762376,0.3118811881188119,97,21,0.2740112994350282,0.42
Other,276,0.6557971014492754,0.12121212121212122,0.6,0.20168067226890757,0.07246376811594203,0.358695652173913,87,8,0.33984375,0.4
Asian,123,0.6422764227642277,0.075,0.3,0.12,0.08130081300813008,0.3252032520325203,37,7,0.3274336283185841,0.7
